Date,adj close_reliance.ns,close_reliance.ns,high_reliance.ns,low_reliance.ns,open_reliance.ns,volume_reliance.ns,rsi
2025-03-04,1161.9000244140625,1161.9000244140625,1174.0,1159.550048828125,1162.199951171875,11377373,27.076174260704548
2025-03-05,1175.5999755859375,1175.5999755859375,1183.0,1157.0,1161.0,8664095,33.87757417184149
2025-03-06,1209.5999755859375,1209.5999755859375,1213.949951171875,1185.1500244140625,1197.0,14468014,47.07123240139504
2025-03-07,1249.800048828125,1249.800048828125,1254.800048828125,1212.0,1216.0,16474965,57.794322174096905
2025-03-10,1238.4000244140625,1238.4000244140625,1258.0,1235.4000244140625,1245.0,11931051,54.42684295713613
2025-03-11,1247.300048828125,1247.300048828125,1249.5,1229.75,1240.0,10089838,56.55512135929623
2025-03-12,1257.050048828125,1257.050048828125,1263.0,1244.0,1258.0,11977555,58.82375398718371
2025-03-13,1247.9000244140625,1247.9000244140625,1264.1500244140625,1243.8499755859375,1260.050048828125,9505270,55.87495549221192
2025-03-17,1238.8499755859375,1238.8499755859375,1257.4000244140625,1233.0999755859375,1242.1500244140625,16640917,53.04270676419264
2025-03-18,1238.8499755859375,1238.8499755859375,1238.8499755859375,1238.8499755859375,1238.8499755859375,0,53.04270676419264
2025-03-19,1247.1500244140625,1247.1500244140625,1253.25,1238.800048828125,1241.050048828125,16162399,55.44491456342457
2025-03-20,1269.1500244140625,1269.1500244140625,1273.0,1250.050048828125,1251.8499755859375,15971477,61.122145090530346
2025-03-21,1276.3499755859375,1276.3499755859375,1281.0,1270.0999755859375,1275.0,21780769,62.79306155382765
2025-03-24,1302.0999755859375,1302.0999755859375,1306.0,1284.25,1291.0,20299319,68.0773210776283
2025-03-25,1285.449951171875,1285.449951171875,1307.699951171875,1282.5999755859375,1307.699951171875,13713899,61.95060083052756
2025-03-26,1273.050048828125,1273.050048828125,1293.800048828125,1268.75,1291.0,12074747,57.780066469543165
2025-03-27,1278.199951171875,1278.199951171875,1285.0,1271.300048828125,1278.1500244140625,15028056,59.01415271162633
2025-03-28,1275.0999755859375,1275.0999755859375,1295.75,1269.0,1280.0,18147129,57.916724994846945
2025-04-01,1252.5999755859375,1252.5999755859375,1277.9000244140625,1249.300048828125,1264.5999755859375,12099648,50.56663390907624
2025-04-02,1251.1500244140625,1251.1500244140625,1255.550048828125,1243.9000244140625,1247.550048828125,10142590,50.12516504067356
2025-04-03,1248.699951171875,1248.699951171875,1251.800048828125,1233.050048828125,1233.050048828125,7434366,49.34127209883654
2025-04-04,1204.699951171875,1204.699951171875,1245.449951171875,1193.1500244140625,1241.0999755859375,17908652,37.883314708173906
2025-04-07,1165.699951171875,1165.699951171875,1171.25,1114.8499755859375,1132.199951171875,22156106,31.00962414921196
2025-04-08,1182.199951171875,1182.199951171875,1196.5999755859375,1163.300048828125,1172.0,19555040,36.277536977480494
2025-04-09,1185.3499755859375,1185.3499755859375,1189.800048828125,1168.0,1169.5,10223104,37.26243750282654
2025-04-11,1218.949951171875,1218.949951171875,1222.6500244140625,1195.1500244140625,1195.1500244140625,11224242,46.721748500333604
2025-04-15,1240.0999755859375,1240.0999755859375,1251.0,1237.0999755859375,1251.0,13378535,51.66228976915202
2025-04-16,1239.300048828125,1239.300048828125,1240.9000244140625,1229.0,1234.0999755859375,8248464,51.467894806419416
2025-04-17,1274.5,1274.5,1280.199951171875,1227.5999755859375,1240.199951171875,15398401,58.81228260401554
2025-04-21,1295.5,1295.5,1300.9000244140625,1267.0,1270.0,10429964,62.462002141286405
2025-04-22,1291.199951171875,1291.199951171875,1303.9000244140625,1286.300048828125,1300.0,13051707,61.26487008360959
2025-04-23,1300.0,1300.0,1306.0,1285.4000244140625,1297.0,10480888,62.83472628774547
2025-04-24,1301.5999755859375,1301.5999755859375,1304.5,1290.300048828125,1292.4000244140625,10468940,63.12732503281347
2025-04-25,1300.4000244140625,1300.4000244140625,1325.199951171875,1288.0999755859375,1303.5,14431012,62.7284520728163
2025-04-28,1368.800048828125,1368.800048828125,1374.5999755859375,1320.199951171875,1340.0,31104496,73.14492941104048
2025-04-29,1399.699951171875,1399.699951171875,1410.9000244140625,1370.0,1371.0,32538970,76.35925675827181
2025-04-30,1405.0,1405.0,1412.4000244140625,1369.0,1402.0,25480745,76.87062660903155
2025-05-02,1419.800048828125,1419.800048828125,1426.699951171875,1409.0999755859375,1414.0,13007841,78.28328173989198
2025-05-05,1431.300048828125,1431.300048828125,1439.5,1426.9000244140625,1431.0,12685649,79.33921964530194
2025-05-06,1420.9000244140625,1420.9000244140625,1432.0,1410.5999755859375,1431.0,14084117,75.75198801943046
2025-05-07,1406.0,1406.0,1424.4000244140625,1402.699951171875,1420.9000244140625,13440169,70.81210882946115
2025-05-08,1407.0,1407.0,1420.800048828125,1398.0,1404.0999755859375,16106175,70.94903314771136
2025-05-09,1377.199951171875,1377.199951171875,1394.800048828125,1374.5,1385.5,13668904,61.66534221032223
2025-05-12,1436.5,1436.5,1439.0,1400.0,1400.0,10674081,70.06069069544418
2025-05-13,1415.699951171875,1415.699951171875,1447.699951171875,1412.4000244140625,1433.5,11406738,64.7076931795091
